"Asset Class", "アセットクラス",85
"Asset Type", "アセットタイプ",86
"Region", "地域",54
"Country", "国",55
"Analyst", "アナリスト",51
"Team", "チーム",97
"Security", "銘柄", 60
"GICS L1 Sectors", "GICS L1 セクター", 87
"GICS L2 Groups", "GICS L2 グループ", 88
"GICS L3 Industries", "GICS L3 インづすトリー", 91
"GICS L4 Sub-Industries", "GICS L4 サブインダストリー", 92
"Periodicals", "Periodicals", 99
